property_title,location,number_of_rooms,price,size,listing_type
1250 TOWER GROVE DR,1250 TOWER GROVE DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 9}",,,sale
9959 BEVERLY GROVE DR,9959 BEVERLY GROVE DR,"{'beds': 2, 'roomsTotal': 13}",,,sale
9531 HIDDEN VALLEY RD,9531 HIDDEN VALLEY RD,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3}",,,sale
9603 OAK PASS RD,9603 OAK PASS RD,{},,,sale
104 N REXFORD DR,104 N REXFORD DR,{},,,sale
1740 SUMMITRIDGE DR,1740 SUMMITRIDGE DR,{},,,sale
1699 N BEVERLY DR,1699 N BEVERLY DR,{},,,sale
9910 TOWER LN,9910 TOWER LN,"{'bathsFull': 7, 'bathsTotal': 7.0, 'beds': 6}",,,sale
13444 JAVA DR,13444 JAVA DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 3, 'roomsTotal': 8}",,,sale
9385 WILSHIRE BLVD,9385 WILSHIRE BLVD,{},,,sale
9393 WILSHIRE BLVD,9393 WILSHIRE BLVD,{},,,sale
10021 WESTWANDA DR,10021 WESTWANDA DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 1, 'roomsTotal': 4}",,,sale
1729 ANGELO DR,1729 ANGELO DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 4}",,,sale
9938 TOWER LN,9938 TOWER LN,"{'bathsFull': 6, 'bathsTotal': 6.5, 'beds': 6, 'roomsTotal': 25}",,,sale
1531 GILCREST DR,1531 GILCREST DR,{},,,sale
804 N BEVERLY DR,804 N BEVERLY DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'roomsTotal': 4}",,,sale
615 N CANON DR,615 N CANON DR,"{'bathsFull': 8, 'bathsTotal': 8.0, 'beds': 9, 'roomsTotal': 24}",,,sale
805 N ROXBURY DR,805 N ROXBURY DR,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 7, 'roomsTotal': 18}",,,sale
807 CINTHIA ST,807 CINTHIA ST,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 5, 'roomsTotal': 18}",,,sale
9171 W 3RD ST,9171 W 3RD ST,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2}",,,sale
331 N OAKHURST DR,331 N OAKHURST DR,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2}",,,sale
9214 W 3RD ST,9214 W 3RD ST,{},,,sale
1117 N BEVERLY DR,1117 N BEVERLY DR,{},,,sale
1009 LAUREL WAY,1009 LAUREL WAY,{},,,sale
1183 SUMMIT DR,1183 SUMMIT DR,{},,,sale
1162 TOWER RD,1162 TOWER RD,{},,,sale
1040 ANGELO DR,1040 ANGELO DR,{},,,sale
2552 HUTTON DR,2552 HUTTON DR,{},,,sale
13442 JAVA DR,13442 JAVA DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 4, 'roomsTotal': 11}",,,sale
2641 HUTTON DR,2641 HUTTON DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 12}",,,sale
2721 ELLISON DR,2721 ELLISON DR,"{'beds': 2, 'roomsTotal': 8}",,,sale
2878 DEEP CANYON DR,2878 DEEP CANYON DR,{},,,sale
59 BEVERLY PARK,59 BEVERLY PARK,"{'bathsFull': 1, 'bathsTotal': 1.0, 'beds': 2}",,,sale
1150 LA COLLINA DR,1150 LA COLLINA DR,"{'bathsFull': 5, 'bathsTotal': 5.0, 'beds': 5, 'roomsTotal': 12}",,,sale
1220 LA COLLINA DR,1220 LA COLLINA DR,{},,,sale
510 N ALPINE DR,510 N ALPINE DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 4, 'roomsTotal': 10}",,,sale
425 N PALM DR APT 101,425 N PALM DR APT 101,"{'bathsFull': 12, 'bathsTotal': 12.0, 'beds': 16}",,,sale
703 N BEDFORD DR,703 N BEDFORD DR,"{'bathsFull': 2, 'bathsTotal': 2.0, 'beds': 2, 'roomsTotal': 10}",,,sale
621 N CAMDEN DR,621 N CAMDEN DR,"{'bathsFull': 7, 'bathsTotal': 7.0, 'beds': 6, 'roomsTotal': 17}",,,sale
1740 GREEN ACRES DR,1740 GREEN ACRES DR,{},,,sale
1735 ANGELO DR,1735 ANGELO DR,{},,,sale
811 N ALTA DR,811 N ALTA DR,"{'bathsFull': 7, 'bathsTotal': 7.0, 'beds': 4, 'roomsTotal': 19}",,,sale
916 FOOTHILL RD,916 FOOTHILL RD,"{'bathsFull': 6, 'bathsTotal': 6.0, 'beds': 4}",,,sale
661 DOHENY RD,661 DOHENY RD,"{'bathsFull': 7, 'bathsTotal': 7.0, 'beds': 5}",,,sale
1129 MIRADERO RD,1129 MIRADERO RD,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 3, 'roomsTotal': 13}",,,sale
1193 LOMA LINDA DR,1193 LOMA LINDA DR,{},,,sale
9487 READCREST DR,9487 READCREST DR,"{'bathsFull': 3, 'bathsTotal': 3.0, 'beds': 2}",,,sale
9412 BEVERLY CREST DR,9412 BEVERLY CREST DR,"{'beds': 2, 'roomsTotal': 8}",,,sale
1422 LINDACREST DR,1422 LINDACREST DR,{},,,sale
1462 CLARIDGE DR,1462 CLARIDGE DR,"{'bathsFull': 4, 'bathsTotal': 4.0, 'beds': 4}",,,sale
1426 HARRIDGE DR,1426 HARRIDGE DR,{},,,sale
1636 SUMMITRIDGE DR,1636 SUMMITRIDGE DR,"{'bathsFull': 6, 'bathsTotal': 6.0, 'beds': 5, 'roomsTotal': 22}",,,sale
