property_title,location,number_of_rooms,price,size,listing_type
807 CINTHIA ST,807 CINTHIA ST,"{'bathsfull': 5, 'bathstotal': 5.0, 'beds': 5, 'roomsTotal': 18}",,,sale
9171 W 3RD ST,9171 W 3RD ST,"{'bathsfull': 1, 'bathstotal': 1.0, 'beds': 2}",,,sale
331 N OAKHURST DR,331 N OAKHURST DR,"{'bathsfull': 1, 'bathstotal': 1.0, 'beds': 2}",,,sale
9214 W 3RD ST,9214 W 3RD ST,{},,,sale
1117 N BEVERLY DR,1117 N BEVERLY DR,{},,,sale
1009 LAUREL WAY,1009 LAUREL WAY,{},,,sale
1183 SUMMIT DR,1183 SUMMIT DR,{},,,sale
1162 TOWER RD,1162 TOWER RD,{},,,sale
1040 ANGELO DR,1040 ANGELO DR,{},,,sale
2552 HUTTON DR,2552 HUTTON DR,{},,,sale
13442 JAVA DR,13442 JAVA DR,"{'bathsfull': 3, 'bathstotal': 3.0, 'beds': 4, 'roomsTotal': 11}",,,sale
2641 HUTTON DR,2641 HUTTON DR,"{'bathsfull': 4, 'bathstotal': 4.0, 'beds': 3, 'roomsTotal': 12}",,2100,sale
2721 ELLISON DR,2721 ELLISON DR,"{'beds': 2, 'roomsTotal': 8}",,,sale
2878 DEEP CANYON DR,2878 DEEP CANYON DR,{},,,sale
59 BEVERLY PARK,59 BEVERLY PARK,"{'bathsfull': 1, 'bathstotal': 1.0, 'beds': 2}",,2308,sale
1150 LA COLLINA DR,1150 LA COLLINA DR,"{'bathsfull': 5, 'bathstotal': 5.0, 'beds': 5, 'roomsTotal': 12}",,,sale
1220 LA COLLINA DR,1220 LA COLLINA DR,{},,400,sale
510 N ALPINE DR,510 N ALPINE DR,"{'bathsfull': 3, 'bathstotal': 3.0, 'beds': 4, 'roomsTotal': 10}",,2318,sale
425 N PALM DR APT 101,425 N PALM DR APT 101,"{'bathsfull': 12, 'bathstotal': 12.0, 'beds': 16}",,12810,sale
703 N BEDFORD DR,703 N BEDFORD DR,"{'bathsfull': 2, 'bathstotal': 2.0, 'beds': 2, 'roomsTotal': 10}",,,sale
621 N CAMDEN DR,621 N CAMDEN DR,"{'bathsfull': 7, 'bathstotal': 7.0, 'beds': 6, 'roomsTotal': 17}",,4254,sale
1740 GREEN ACRES DR,1740 GREEN ACRES DR,{},,,sale
1735 ANGELO DR,1735 ANGELO DR,{},,,sale
811 N ALTA DR,811 N ALTA DR,"{'bathsfull': 7, 'bathstotal': 7.0, 'beds': 4, 'roomsTotal': 19}",,5239,sale
916 FOOTHILL RD,916 FOOTHILL RD,"{'bathsfull': 6, 'bathstotal': 6.0, 'beds': 4}",,3614,sale
661 DOHENY RD,661 DOHENY RD,"{'bathsfull': 7, 'bathstotal': 7.0, 'beds': 5}",,7003,sale
1129 MIRADERO RD,1129 MIRADERO RD,"{'bathsfull': 4, 'bathstotal': 4.0, 'beds': 3, 'roomsTotal': 13}",,3384,sale
1193 LOMA LINDA DR,1193 LOMA LINDA DR,{},,1273,sale
9487 READCREST DR,9487 READCREST DR,"{'bathsfull': 3, 'bathstotal': 3.0, 'beds': 2}",,,sale
9412 BEVERLY CREST DR,9412 BEVERLY CREST DR,"{'beds': 2, 'roomsTotal': 8}",,,sale
1422 LINDACREST DR,1422 LINDACREST DR,{},,,sale
1462 CLARIDGE DR,1462 CLARIDGE DR,"{'bathsfull': 4, 'bathstotal': 4.0, 'beds': 4}",,3106,sale
1426 HARRIDGE DR,1426 HARRIDGE DR,{},,1044,sale
1636 SUMMITRIDGE DR,1636 SUMMITRIDGE DR,"{'bathsfull': 6, 'bathstotal': 6.0, 'beds': 5, 'roomsTotal': 22}",,,sale
